Product,Cluster,WAPE,MASE,MAE,Bias,RMSE
Bakery,1,0.1565,0.9189,9.8544,-2.7490,11.3547
Festive Stack,2,1.0000,1.7556,2.7241,-2.7241,3.8011
Buttd Mushrooms,0,0.6626,0.9939,1.5081,-1.3844,2.0149
The Breakfast,1,0.1599,0.4368,5.4370,-1.3233,7.0627
Sausage Bap,1,0.2597,0.7473,3.1437,-1.0517,3.6552
Egg Bap,0,0.8023,0.7020,1.3556,-1.0365,1.8686
Tuna JP,0,0.5875,0.7834,1.6208,-0.8996,2.1516
Bacon Egg Brioch,0,0.6863,0.8074,1.4200,-0.8725,1.7529
Black Pudding,1,0.6433,0.7213,1.6416,-0.7909,2.1907
Toasted Teacake,1,0.2469,0.6429,2.1282,-0.7236,2.6131
Breakfast Muffin,0,0.3741,0.5842,1.4707,-0.6201,1.9924
Posh Beans,0,0.9517,0.7428,1.0502,-0.4318,1.3192
Multiseed Toast Bread,0,0.5695,0.6133,1.6496,-0.3808,2.2355
Veggie Breakfast,0,0.6178,0.6178,1.3847,-0.3783,1.7242
Poached Egg,1,0.6151,0.7148,1.8239,-0.3506,2.3822
Bacon,1,0.4219,0.6881,2.4440,-0.3421,3.2208
Baked Beans,1,0.3860,0.6490,2.0366,-0.3301,2.4032
Brown Toast Bread,1,0.2183,0.6770,1.8442,-0.1945,2.2845
Sourdough Toast Bread,0,0.8265,0.6701,0.8550,-0.0745,1.1603
Porridge,0,1.1795,1.0812,0.4474,-0.0686,0.4834
Streaky Bacon,0,1.0121,0.5060,0.1396,-0.0537,0.2725
Cheese JP,0,1.4133,0.8076,0.3899,-0.0439,0.5165
Vegan Breakfast,1,0.8505,0.7162,0.4693,-0.0335,0.5749
Veggie Bap,0,1.1084,0.9334,0.6115,-0.0332,0.6995
Ltle Bfast Saus,0,0.7521,0.9539,1.3486,-0.0235,1.5889
Breakfast Hash,0,0.9542,0.6939,0.7897,-0.0162,0.9447
Hash Brown Bites,0,N/A,N/A,0.0000,0.0000,0.0000
Tuna Mayo Mix,2,N/A,N/A,0.0000,0.0000,0.0000
Tuna Melt Panini,3,N/A,N/A,0.0000,0.0000,0.0000
Tuna Panini,1,N/A,N/A,0.0009,0.0009,0.0047
Veg Sausage Bap,0,N/A,N/A,0.0151,0.0151,0.0201
Baked Beans JP,0,1.8112,1.2074,0.2498,0.0184,0.3479
Extra Beans,0,N/A,N/A,0.0201,0.0201,0.0215
Cheese & Bean JP,0,0.6489,0.6895,0.7608,0.0319,0.8972
Little Avo Toast,0,N/A,N/A,0.0373,0.0373,0.0610
Vegan Sausage,0,N/A,N/A,0.0440,0.0440,0.0832
Breakfast Wrap,0,N/A,N/A,0.0455,0.0455,0.1061
Hash Brown,1,0.6445,0.9334,1.8667,0.0574,2.1668
Avo & Hal Muffin,0,N/A,N/A,0.0811,0.0811,0.1297
Little Egg Toast,0,N/A,N/A,0.1105,0.1105,0.1528
Ltle Bfast Bacon,0,1.4643,1.0019,0.6564,0.1444,0.7663
Fried Egg,1,0.3950,0.8195,3.3912,0.1669,4.0607
"Avo, Egg & Bacon",0,0.5444,0.9624,1.8584,0.1679,2.1783
Tattie Scone,1,0.6640,0.7098,1.4197,0.2357,1.7581
Little Bean Toas,0,N/A,N/A,0.2584,0.2584,0.4348
S.Eggs on Toast,1,0.5566,0.7825,1.8618,0.2662,2.2255
F.Eggs on Toast,1,0.7375,0.8428,1.2206,0.3173,1.5009
Big Breakfast,1,0.2801,0.6179,4.6659,0.3253,5.5024
Avocado on Toast,1,0.6659,0.7843,1.2171,0.3865,1.3856
Tuna Toastie,0,0.5283,0.7044,1.3117,0.4026,1.7737
P.Eggs on Toast,1,0.2556,0.6273,1.4276,0.4155,1.8468
Bean Soldiers,0,1.5128,1.2967,0.6260,0.5058,0.7390
Scrambled Egg,0,0.9698,0.7154,1.5049,0.5320,1.8389
Chilli Carne JP,0,0.8328,0.8985,1.1774,0.6497,1.3701
Mini Hash Browns,0,0.7082,0.8897,1.1966,0.8969,1.3905
Roll & Butter ,1,0.9085,1.3174,1.8171,1.0306,2.1379
Bacon Waffle,0,0.7180,0.8553,2.0055,1.1192,2.4659
Egg Bacon Brioch,1,N/A,N/A,1.1792,1.1792,1.3843
"Avo, Feta & Tom",0,0.8592,1.0446,1.8370,1.2250,2.0978
Sausage,1,0.4571,0.6949,2.9472,1.2992,3.7958
Bacon Bap,1,0.2953,0.8045,4.3279,1.5550,5.3893
Chick Flatbread,0,3.2689,4.2905,2.3672,2.1041,2.5017
Chicken Club,0,2.5745,3.0512,2.8408,2.2343,3.0506
White Toast Bread,1,0.1769,0.6378,5.5646,3.2139,7.0029
